"audience","source_file","component_symbols","route_paths","route_status","navigation_placement","surface_classification","visible_technical_indicators","notes"
"agency","frontend/src/pages/agency/AfterSalesPage.jsx","AfterSalesPage","/agency/after-sales","exact","advanced","specialist_tooling","metadata","Retained under collapsed Advanced navigation."
"agency","frontend/src/pages/agency/AgencyDashboardPage.jsx","AgencyDashboardPage","none found","orphan","orphan","orphan_or_unused","none","No route-registry reference found; review before removal."
"agency","frontend/src/pages/agency/AgencyOnboardingPage.jsx","AgencyOnboardingPage","/agency/onboarding","exact","contextual","contextual_detail","engineering","Canonical or contextual product surface."
"agency","frontend/src/pages/agency/AgencySettingsPage.jsx","AgencySettingsPage","/agency/settings","exact","primary","task_surface","none","Canonical or contextual product surface."
"agency","frontend/src/pages/agency/AgentWorkQueuePage.jsx","AgentWorkQueuePage","/agency/work-queue","exact","primary","task_surface","none","Canonical or contextual product surface."
"agency","frontend/src/pages/agency/AirlineContactDirectoryPage.jsx","AgencyAirlineContactDirectoryPage","/agency/airline-contact-directory","exact","advanced","specialist_tooling","none","Retained under collapsed Advanced navigation."
"agency","frontend/src/pages/agency/AirlineDistributionCapabilitiesPage.jsx","AgencyAirlineDistributionCapabilitiesPage","/agency/distribution-capabilities","exact","advanced","specialist_tooling","metadata","Retained under collapsed Advanced navigation."
"agency","frontend/src/pages/agency/AirlineEvidencePage.jsx","AgencyAirlineEvidencePage","/agency/airline-evidence","exact","advanced","specialist_tooling","none","Retained under collapsed Advanced navigation."
"agency","frontend/src/pages/agency/AirlineIntelligenceConsumptionPage.jsx","AgencyAirlineIntelligenceConsumptionPage","/agency/airline-intelligence-consumption","exact","advanced","specialist_tooling","none","Retained under collapsed Advanced navigation."
"agency","frontend/src/pages/agency/AirlineIntelligenceCoveragePage.jsx","AirlineIntelligenceCoveragePage","/agency/airline-intelligence-coverage","exact","advanced","specialist_tooling","metadata","Retained under collapsed Advanced navigation."
"agency","frontend/src/pages/agency/AirlineIntelligenceDetailPage.jsx","AirlineIntelligenceDetailPage","dynamic route in frontend/src/routes/RoutedApplication.jsx","dynamic","contextual","contextual_detail","none","Canonical or contextual product surface."
"agency","frontend/src/pages/agency/AirlineIntelligenceKnowledgeVersionsPage.jsx","AgencyAirlineIntelligenceKnowledgeVersionsPage","/agency/airline-intelligence-knowledge-versions","exact","advanced","specialist_tooling","metadata","Retained under collapsed Advanced navigation."
"agency","frontend/src/pages/agency/AirlineIntelligencePage.jsx","AirlineIntelligencePage","/agency/airline-intelligence","exact","contextual","contextual_detail","none","Canonical or contextual product surface."
"agency","frontend/src/pages/agency/AirlineIntelligenceReadinessPage.jsx","AgencyAirlineIntelligenceReadinessPage","/agency/airline-intelligence-readiness","exact","advanced","specialist_tooling","none","Retained under collapsed Advanced navigation."
"agency","frontend/src/pages/agency/AirlineIntelligenceReviewCoveragePage.jsx","AirlineIntelligenceReviewCoveragePage","/agency/airline-intelligence-review-coverage","exact","advanced","specialist_tooling","metadata","Retained under collapsed Advanced navigation."
"agency","frontend/src/pages/agency/AirlineKnowledgeViewPage.jsx","AirlineKnowledgeViewPage","dynamic route in frontend/src/routes/RoutedApplication.jsx","dynamic","contextual","contextual_detail","none","Canonical or contextual product surface."
"agency","frontend/src/pages/agency/AirlinePolicyLibraryPage.jsx","AirlinePolicyLibraryPage","/agency/airline-policy-library","exact","advanced","foundation_or_metadata","foundation","Retained under collapsed Advanced navigation."
"agency","frontend/src/pages/agency/AirlineProfilesPage.jsx","AirlineProfilesPage","/agency/airline-profiles","exact","advanced","specialist_tooling","metadata","Retained under collapsed Advanced navigation."
"agency","frontend/src/pages/agency/AirlineServiceAdvisorPage.jsx","AirlineServiceAdvisorPage","/agency/airline-service-advisor","exact_and_dynamic","advanced","specialist_tooling","metadata","Retained under collapsed Advanced navigation."
"agency","frontend/src/pages/agency/AirlineServiceCoveragePage.jsx","AgencyAirlineServiceCoveragePage","/agency/airline-service-coverage","exact","advanced","specialist_tooling","none","Retained under collapsed Advanced navigation."
"agency","frontend/src/pages/agency/AncillaryPricingPage.jsx","AgencyAncillaryPricingPage","/agency/ancillary-pricing","exact","advanced","specialist_tooling","none","Retained under collapsed Advanced navigation."
"agency","frontend/src/pages/agency/AssignedBundlesPage.jsx","AssignedBundlesPage","/agency/assigned-bundles","exact","advanced","specialist_tooling","metadata","Retained under collapsed Advanced navigation."
"agency","frontend/src/pages/agency/BookingCreatePage.jsx","BookingCreatePage","none found","orphan","orphan","orphan_or_unused","none","No route-registry reference found; review before removal."
"agency","frontend/src/pages/agency/BookingDetailPage.jsx","BookingDetailPage","dynamic route in frontend/src/routes/RoutedApplication.jsx","dynamic","contextual","contextual_detail","none","Canonical or contextual product surface."
"agency","frontend/src/pages/agency/BookingHandoffsPage.jsx","BookingHandoffsPage","/agency/booking-handoffs","exact","advanced","specialist_tooling","metadata","Retained under collapsed Advanced navigation."
"agency","frontend/src/pages/agency/BookingImportsPage.jsx","BookingImportsPage","dynamic route in frontend/src/routes/RoutedApplication.jsx","dynamic","contextual","catalogue_or_governance","none","Canonical or contextual product surface."
"agency","frontend/src/pages/agency/BookingsPage.jsx","BookingsPage","dynamic route in frontend/src/routes/RoutedApplication.jsx","dynamic","contextual","contextual_detail","none","Canonical or contextual product surface."
"agency","frontend/src/pages/agency/BookingWorkspaceDetailPage.jsx","BookingWorkspaceDetailPage","dynamic route in frontend/src/routes/RoutedApplication.jsx","dynamic","contextual","contextual_detail","engineering","Canonical or contextual product surface."
"agency","frontend/src/pages/agency/BookingWorkspaceMetadataPage.jsx","BookingWorkspaceMetadataPage","/agency/booking-workspaces","exact","advanced","foundation_or_metadata","metadata","Retained under collapsed Advanced navigation."
"agency","frontend/src/pages/agency/BookingWorkspacesPage.jsx","BookingWorkspacesPage","dynamic route in frontend/src/routes/RoutedApplication.jsx","dynamic","contextual","contextual_detail","catalogue","Canonical or contextual product surface."
"agency","frontend/src/pages/agency/BundleDependenciesPage.jsx","BundleDependenciesPage","/agency/bundle-dependencies","exact","advanced","specialist_tooling","metadata","Retained under collapsed Advanced navigation."
"agency","frontend/src/pages/agency/BundleRolloutReadinessPage.jsx","BundleRolloutReadinessPage","/agency/bundle-rollout-readiness","exact","advanced","specialist_tooling","metadata","Retained under collapsed Advanced navigation."
"agency","frontend/src/pages/agency/CapabilitiesPage.jsx","CapabilitiesPage","/agency/capabilities","exact","advanced","specialist_tooling","metadata","Retained under collapsed Advanced navigation."
"agency","frontend/src/pages/agency/CapabilityMatrixPage.jsx","CapabilityMatrixPage","/agency/capability-matrix","exact","advanced","specialist_tooling","metadata","Retained under collapsed Advanced navigation."
"agency","frontend/src/pages/agency/ClientDetailPage.jsx","ClientDetailPage","dynamic route in frontend/src/routes/RoutedApplication.jsx","dynamic","contextual","contextual_detail","none","Canonical or contextual product surface."
"agency","frontend/src/pages/agency/ClientMasterPage.jsx","AgencyClientMasterPage","/agency/clients","exact_and_dynamic","primary","task_surface","none","Canonical or contextual product surface."
"agency","frontend/src/pages/agency/ClientsPage.jsx","ClientsPage","none found","orphan","orphan","orphan_or_unused","foundation","No route-registry reference found; review before removal."
"agency","frontend/src/pages/agency/CommunicationsPage.jsx","CommunicationsPage","/agency/communications","exact","primary","task_surface","none","Canonical or contextual product surface."
"agency","frontend/src/pages/agency/DeadlinesPage.jsx","DeadlinesPage","/agency/deadlines","exact","advanced","specialist_tooling","metadata","Retained under collapsed Advanced navigation."
"agency","frontend/src/pages/agency/DocumentDetailPage.jsx","DocumentDetailPage","dynamic route in frontend/src/routes/RoutedApplication.jsx","dynamic","contextual","diagnostics","metadata | diagnostics","Canonical or contextual product surface."
"agency","frontend/src/pages/agency/DocumentsPage.jsx","DocumentsPage","/agency/documents","exact","advanced","specialist_tooling","none","Retained under collapsed Advanced navigation."
"agency","frontend/src/pages/agency/DocumentStoragePage.jsx","DocumentStoragePage","/agency/document-storage","exact","contextual","contextual_detail","metadata","Canonical or contextual product surface."
"agency","frontend/src/pages/agency/DocumentTemplatesPage.jsx","DocumentTemplatesPage","/agency/document-templates","exact","contextual","contextual_detail","metadata","Canonical or contextual product surface."
"agency","frontend/src/pages/agency/DocumentWorkspacesPage.jsx","DocumentWorkspacesPage","/agency/document-workspaces","exact","primary","task_surface","none","Canonical or contextual product surface."
"agency","frontend/src/pages/agency/EmdDetailPage.jsx","EmdDetailPage","dynamic route in frontend/src/routes/RoutedApplication.jsx","dynamic","contextual","contextual_detail","catalogue","Canonical or contextual product surface."
"agency","frontend/src/pages/agency/EmdWorkspaceMetadataPage.jsx","EmdWorkspaceMetadataPage","/agency/emd-workspaces","exact","advanced","foundation_or_metadata","metadata | engineering","Retained under collapsed Advanced navigation."
"agency","frontend/src/pages/agency/FareBrandLibraryPage.jsx","AgencyFareBrandLibraryPage","/agency/fare-brand-library","exact","advanced","specialist_tooling","none","Retained under collapsed Advanced navigation."
"agency","frontend/src/pages/agency/FeatureAvailabilityPage.jsx","FeatureAvailabilityPage","/agency/feature-availability","exact","advanced","specialist_tooling","metadata","Retained under collapsed Advanced navigation."
"agency","frontend/src/pages/agency/FeatureBundlesPage.jsx","FeatureBundlesPage","/agency/feature-bundles","exact","advanced","specialist_tooling","metadata","Retained under collapsed Advanced navigation."
"agency","frontend/src/pages/agency/FeatureReadinessPage.jsx","FeatureReadinessPage","/agency/feature-readiness","exact","advanced","specialist_tooling","metadata","Retained under collapsed Advanced navigation."
"agency","frontend/src/pages/agency/FinanceDashboardPage.jsx","FinanceDashboardPage","dynamic route in frontend/src/routes/RoutedApplication.jsx","dynamic","contextual","contextual_detail","none","Canonical or contextual product surface."
"agency","frontend/src/pages/agency/FlightWorkspacesPage.jsx","FlightWorkspacesPage","/agency/flight-workspaces","exact","advanced","specialist_tooling","metadata","Retained under collapsed Advanced navigation."
"agency","frontend/src/pages/agency/FormProfilesPage.jsx","FormProfilesPage","/agency/settings/forms","exact","advanced","specialist_tooling","engineering","Retained under collapsed Advanced navigation."
