record_kind,path,route_pattern,registration_kind,page_component,source_file,line,page_file,layout,role_or_surface,module_catalog_label,module_catalog_file,navigation,api_client_calls,backend_support,notes
api_client_module,,,shared_api_client,OfferDeliveryPanel,frontend/src/components/offers/OfferDeliveryPanel.jsx,1,,,shared,,,,/api/agencies/${agency.id}/offer-deliveries/${selectedId}${suffix};/api/agencies/${agency.id}/offer-deliveries/from-offer/${offerContextId};/api/agencies/${agency.id}/offer-deliveries/from-presentation/${source.presentation_id.trim()};/api/agencies/${agencyId}/offer-deliveries/${id};/api/agencies/${currentAgency.id}/offer-deliveries?${params},matched_static_backend_shape,Imported client/component API literals; page rows include one-level imported calls.
api_client_module,,,shared_api_client,AgencyLayout,frontend/src/layouts/AgencyLayout.jsx,1,,,shared,,,,/api/agencies/${agency.id}/saas-subscriptions/module-visibility,matched_static_backend_shape,Imported client/component API literals; page rows include one-level imported calls.
api_client_module,,,shared_api_client,agency,frontend/src/lib/agency.js,1,,,shared,,,,/api/agencies;/api/agencies/${agency.id}/branding;/api/auth/me,matched_static_backend_shape,Imported client/component API literals; page rows include one-level imported calls.
api_client_module,,,shared_api_client,api,frontend/src/lib/api.js,1,,,shared,,,,/api/auth/logout,matched_static_backend_shape,Generic HTTP client; explicit apiDeleteSession endpoint literal.
api_client_module,,,shared_api_client,formProfiles,frontend/src/lib/formProfiles.js,1,,,shared,,,,"/api/agencies/${agencyId}/form-profiles;/api/agencies/${agencyId}/form-profiles/${profileId};/api/agencies/${agencyId}/form-profiles/${profileId}/effective;/api/agencies/${agencyId}/form-profiles/${profileId}/fields;/api/form-profiles/field-definitions/bootstrap;/api/form-profiles/field-definitions?include_inactive=${includeInactive?""true"":""false""};/api/public/form-profiles/effective?agency_id=${encodeURIComponent(agencyId)}&form_context=${encodeURIComponent(formContext)}",matched_static_backend_shape,Imported client/component API literals; page rows include one-level imported calls.
api_client_module,,,shared_api_client,platformReferenceData,frontend/src/lib/platformReferenceData.js,1,,,shared,,,,/api/platform/reference/domain-usage;/api/platform/reference/domains;/api/platform/reference/domains/${encodeURIComponent(domain)};/api/platform/reference/enrichment-packs;/api/platform/reference/enrichment-packs/${encodeURIComponent(packId)}/apply;/api/platform/reference/enrichment-packs/${encodeURIComponent(packId)}/preview;/api/platform/reference/enrichment/batches;/api/platform/reference/enrichment/dry-run;/api/platform/reference/enrichment/import;/api/platform/reference/enrichment/template/${encodeURIComponent(templateName)};/api/platform/reference/enrichment/templates;/api/platform/reference/export;/api/platform/reference/health;/api/platform/reference/import;/api/platform/reference/import-batches;/api/platform/reference/import/apply;/api/platform/reference/import/preview;/api/platform/reference/import/templates;/api/platform/reference/records;/api/platform/reference/records/${recordId};/api/platform/reference/records/${recordId}/archive;/api/platform/reference/records/action-required;/api/platform/reference/suggestions;/api/platform/reference/suggestions/${suggestionId}/${action};/api/platform/service-catalogue;/api/platform/service-catalogue/${encodeURIComponent(serviceId)};/api/platform/service-catalogue/${encodeURIComponent(serviceId)}/archive,partial_static_match:26_matched:1_unresolved,Imported client/component API literals; page rows include one-level imported calls.
api_client_module,,,shared_api_client,referenceData,frontend/src/lib/referenceData.js,1,,,shared,,,,"/api/reference/${domain};/api/reference/${domain}/${recordId};/api/reference/${domain}/${recordId}/activate;/api/reference/${domain}/${recordId}/deactivate;/api/reference/${domain}/search?q=${encodeURIComponent(query)}&include_inactive=${includeInactive?""true"":""false""};/api/reference/${domain}?include_inactive=${includeInactive?""true"":""false""};/api/reference/domains;/api/reference/import-batches;/api/reference/service-catalogue/search?q=${encodeURIComponent(query)}&include_inactive=${includeInactive?""true"":""false""};/api/reference/service-catalogue?include_inactive=${includeInactive?""true"":""false""};/api/reference/suggestions;/api/reference/suggestions${suffix};/api/reference/suggestions/${suggestionId}/approve;/api/reference/suggestions/${suggestionId}/archive;/api/reference/suggestions/${suggestionId}/needs-more-information;/api/reference/suggestions/${suggestionId}/reject",matched_static_backend_shape,Imported client/component API literals; page rows include one-level imported calls.
page,,,page_module,BookingWorkspacesPage,frontend/src/pages/agency/BookingWorkspacesPage.jsx,1,frontend/src/pages/agency/BookingWorkspacesPage.jsx,AgencyLayout;ProtectedRoute,agency,,,,/api/agencies;/api/agencies/${agency.id}/branding;/api/agencies/${agencyId}/booking-readiness-packages;/api/agencies/${context.agency.id}/booking-readiness-packages;/api/agencies/${context.agency.id}/booking-workspaces${suffix};/api/agencies/${state.agency.id}/booking-workspaces/from-readiness;/api/agencies/${state.agency.id}/booking-workspaces/manual;/api/auth/me,matched_static_backend_shape,no_static_App.jsx_registration
page,,,page_module,ClientsPage,frontend/src/pages/agency/ClientsPage.jsx,1,frontend/src/pages/agency/ClientsPage.jsx,AgencyLayout;ProtectedRoute,agency,,,,/api/agencies;/api/agencies/${agency.id}/branding;/api/agencies/${context.agency.id}/clients;/api/agencies/${state.agency.id}/clients;/api/auth/me,matched_static_backend_shape,no_static_App.jsx_registration
page,,,page_module,OfferDetailPage,frontend/src/pages/agency/OfferDetailPage.jsx,1,frontend/src/pages/agency/OfferDetailPage.jsx,AgencyLayout;ProtectedRoute,agency,,,,/api/agencies;/api/agencies/${agency.id}/branding;/api/agencies/${context.agency.id}/offers/${offerId};/api/agencies/${context.agency.id}/passengers;/api/agencies/${state.agency.id}/offers/${offerId}/fare-options/${forms.price_fare_id}/price-lines;/api/agencies/${state.agency.id}/offers/${offerId}/passengers;/api/agencies/${state.agency.id}/offers/${offerId}/render-document;/api/agencies/${state.agency.id}/offers/${offerId}/route-alternatives;/api/agencies/${state.agency.id}/offers/${offerId}/route-alternatives/${forms.fare_route_id}/fare-options;/api/agencies/${state.agency.id}/offers/${offerId}/route-alternatives/${forms.segment_route_id}/segments;/api/agencies/${state.agency.id}/offers/${offerId}/send;/api/agencies/${state.agency.id}/offers/${offerId}/service-checks;/api/auth/me,matched_static_backend_shape,no_static_App.jsx_registration
page,,,page_module,OffersPage,frontend/src/pages/agency/OffersPage.jsx,1,frontend/src/pages/agency/OffersPage.jsx,AgencyLayout;ProtectedRoute,agency,,,,/api/agencies;/api/agencies/${agency.id}/branding;/api/agencies/${context.agency.id}/clients;/api/agencies/${context.agency.id}/offers;/api/auth/me,matched_static_backend_shape,no_static_App.jsx_registration
