service_module,source_file,service_symbols,public_method_count,public_function_count,router_references,collection_references,persistence_helpers,model_imports,external_io_markers,static_reference_count,notes
after_sales_workflow_service,backend/services/after_sales_workflow_service.py,AfterSalesWorkflowError@108;AfterSalesWorkflowService@112,18,0,backend/routers/agency_after_sales_workflows.py;backend/routers/platform_after_sales_workflows.py,after_sales_case_items;after_sales_cases;after_sales_communication_records;after_sales_decisions;after_sales_financial_impacts;after_sales_resolutions;emd_workspaces;operational_workflow_events;operational_workflow_instances;ticket_workspaces,collection(;Database,AfterSalesCase;AfterSalesCaseCreate;AfterSalesCaseItem;AfterSalesCaseItemCreate;AfterSalesCaseUpdate;AfterSalesCommunicationRecord;AfterSalesCommunicationRecordCreate;AfterSalesDecision;AfterSalesDecisionCreate;AfterSalesFinancialImpact;AfterSalesFinancialImpactCreate;AfterSalesResolution;AfterSalesResolutionCreate;OperationalDeadlineCreate;OperationalTaskAutomationRunRequest;OperationalTimelineCreate;OperationalWorkItemGenerateRequest;OperationalWorkflowEvent;OperationalWorkflowInstance;new_id,provider,2,external markers are lexical and require manual interpretation
agency_feature_bundle_assignment_service,backend/services/agency_feature_bundle_assignment_service.py,AgencyFeatureBundleAssignmentService@26,9,0,backend/routers/agency_feature_bundle_assignments.py;backend/routers/platform_feature_bundle_assignments.py,agency_feature_bundle_assignment_history;agency_feature_bundle_assignments,collection(;Database,AgencyFeatureBundleAssignment;AgencyFeatureBundleAssignmentCreate;AgencyFeatureBundleAssignmentHistory;AgencyFeatureBundleAssignmentUpdate;new_id;now_utc,provider,2,external markers are lexical and require manual interpretation
agency_feature_flag_audit_service,backend/services/agency_feature_flag_audit_service.py,AgencyFeatureFlagAuditService@27;readiness_label@202,8,1,backend/routers/agency_feature_flag_readiness.py;backend/routers/platform_feature_flag_audits.py,agency_feature_flag_audits;agency_feature_flag_readiness,collection(;Database,AgencyFeatureFlagAudit;AgencyFeatureFlagReadiness;now_utc,provider,2,external markers are lexical and require manual interpretation
agency_feature_flag_bundle_service,backend/services/agency_feature_flag_bundle_service.py,AgencyFeatureFlagBundleService@137,11,0,backend/routers/agency_feature_flag_bundles.py;backend/routers/platform_feature_flag_bundles.py,agency_feature_flag_bundle_reviews;agency_feature_flag_bundles,collection(;Database,BundleReadiness;FeatureFlagBundle;FeatureFlagBundleMember;FeatureFlagBundleReview;FeatureFlagBundleSummary,provider,2,external markers are lexical and require manual interpretation
agency_feature_flag_service,backend/services/agency_feature_flag_service.py,AgencyFeatureFlagService@31,10,0,backend/routers/agency_feature_flags.py;backend/routers/platform_feature_flags.py,agency_feature_flag_reviews;agency_feature_flag_snapshots;agency_feature_flags,collection(;Database,AgencyFeatureFlag;AgencyFeatureFlagCreateRequest;AgencyFeatureFlagReview;AgencyFeatureFlagReviewCreateRequest;AgencyFeatureFlagSnapshot;AgencyFeatureFlagSnapshotCreateRequest;AgencyFeatureFlagUpdateRequest;now_utc,provider,2,external markers are lexical and require manual interpretation
agent_work_queue_service,backend/services/agent_work_queue_service.py,AgentWorkQueueError@197;AgentWorkQueueService@201,22,0,backend/routers/agency_agent_work_queues.py;backend/routers/platform_agent_work_queues.py,booking_workspaces;document_workspaces;offer_workspaces_v2;operational_assignment_events;operational_queue_definitions;operational_queue_views;operational_work_items;operational_workflow_events;operational_workflow_instances;pilot_readiness_issues;request_tasks;travel_request_workspaces;travel_requests,collection(;Database,OperationalAssignmentEvent;OperationalBulkAssignmentRequest;OperationalQueueDefinition;OperationalQueueDefinitionCreate;OperationalQueueDefinitionUpdate;OperationalQueueView;OperationalQueueViewCreate;OperationalQueueViewUpdate;OperationalWorkItem;OperationalWorkItemActionRequest;OperationalWorkItemCreate;OperationalWorkItemGenerateRequest;OperationalWorkItemUpdate;new_id,provider,2,external markers are lexical and require manual interpretation
airline_capability_matrix_service,backend/services/airline_capability_matrix_service.py,AirlineCapabilityMatrixError@29;AirlineCapabilityMatrixService@33,14,0,backend/routers/agency_airline_capability_matrix.py;backend/routers/platform_airline_capability_matrix.py,agencies;airline_capability_matrix,collection(;Database,AirlineCapabilityMatrixCreate;AirlineCapabilityMatrixRecord;AirlineCapabilityMatrixUpdate;new_id,provider,2,external markers are lexical and require manual interpretation
airline_contact_communication_intelligence_service,backend/services/airline_contact_communication_intelligence_service.py,AirlineContactCommunicationIntelligenceError@172;payload_dict@176;_SafeTemplateValues@182;AirlineContactCommunicationIntelligenceService@187,14,1,backend/routers/agency_airline_contact_directory.py;backend/routers/platform_airline_contact_intelligence.py,after_sales_cases;after_sales_communication_records;airline_communication_requirements;airline_communication_templates;airline_contact_availabilities;airline_contact_channels;airline_contact_escalation_paths;airline_contact_scopes;airline_contact_verifications;airline_contacts;airline_supplier_interactions;audit_events;booking_workspaces;document_workspaces;emd_workspaces;operational_deadlines;operational_work_items;operational_workflow_instances;passenger_service_workflows;passenger_workspaces;request_tasks;ssr_osi_operational_workspaces;ticket_workspaces;travel_request_workspaces;trip_workspaces,collection(;Database,AirlineCommunicationRequirement;AirlineCommunicationTemplate;AirlineContactAvailability;AirlineContactChannel;AirlineContactDirectoryEntry;AirlineContactEscalationPath;AirlineContactScope;AirlineContactVerification;AirlineSupplierInteractionRecord;AuditEvent;OperationalTimelineCreate,provider,2,external markers are lexical and require manual interpretation
airline_distribution_capability_service,backend/services/airline_distribution_capability_service.py,AirlineDistributionCapabilityError@164;payload_dict@168;AirlineDistributionCapabilityService@174,10,1,backend/routers/agency_airline_distribution_capabilities.py;backend/routers/platform_airline_distribution_capabilities.py,airline_distribution_capabilities;airline_distribution_channels;airline_distribution_evidence_links;airline_distribution_profiles;airline_distribution_restrictions;airline_fulfillment_capabilities;airline_gds_participations;airline_ndc_capabilities;airline_profiles;airline_pss_profiles;airline_servicing_capabilities;audit_events,collection(;Database,AirlineDistributionCapability;AirlineDistributionChannel;AirlineDistributionEvidenceLink;AirlineDistributionRestriction;AirlineFulfillmentCapability;AirlineGdsParticipation;AirlineNdcCapability;AirlinePssProfile;AirlineServicingCapability;AuditEvent,provider,2,external markers are lexical and require manual interpretation
airline_fare_family_brand_intelligence_service,backend/services/airline_fare_family_brand_intelligence_service.py,AirlineFareFamilyBrandIntelligenceError@97;payload_dict@101;AirlineFareFamilyBrandIntelligenceService@107,15,1,backend/routers/agency_airline_fare_brand_intelligence.py;backend/routers/platform_airline_fare_brand_intelligence.py,airline_ancillaries;airline_baggage_allowance_rules;airline_baggage_exceptions;airline_baggage_responsibility_rules;airline_booking_class_mappings;airline_brand_comparison_profiles;airline_commercial_bundles;airline_fare_brand_attributes;airline_fare_families;airline_fare_family_evidence_links;airline_fare_rules;airline_profiles;airline_rbd_matrix_rows;audit_events,collection(;Database,AirlineBaggageAllowanceRule;AirlineBaggageException;AirlineBookingClassMapping;AirlineBrandComparisonProfile;AirlineCommercialBundle;AirlineFareBrandAttribute;AirlineFareFamily;AirlineFareFamilyEvidenceLink;AuditEvent,provider,2,external markers are lexical and require manual interpretation
